product_name,description,category,unit,keywords,specifications,provider_name,provider_contact,provider_phone,provider_email,provider_address,price,stock_quantity,delivery_time_hours
Escuadra de Carpintero,Escuadra de carpintero de 12 pulgadas,Herramientas Manuales,unidad,"escuadra,carpintero,12 pulgadas,acero","Longitud: 12 pulgadas, Material: Acero, Marcas graduadas",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Lija de Agua,Lija de agua #220 caja de 10,Herramientas Manuales,unidad,"lija,agua,220,10","Grano: #220, Tipo: Agua, Cantidad: 10 hojas",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Pistola de Calor,Pistola de calor de 1500W con 2 velocidades,Herramientas Eléctricas,unidad,"pistola,calor,1500w,velocidad","Potencia: 1500W, Velocidades: 2, Temperatura: 50-550°C",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Sierra de Mesa,Sierra de mesa de 10 pulgadas con motor de 1.5HP,Herramientas Eléctricas,unidad,"sierra,mesa,10 pulgadas,1.5hp","Diámetro: 10 pulgadas, Potencia: 1.5HP, Incluye guarda",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Compresor de Aire,Compresor de aire de 6 galones 150 PSI,Herramientas Eléctricas,unidad,"compresor,aire,6 galones,150 psi","Tanque: 6 galones, Presión: 150 PSI, Motor: 1HP",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Soldadora Eléctrica,Soldadora eléctrica de 140A con máscara,Herramientas Eléctricas,unidad,"soldadora,eléctrica,140a,máscara","Amperaje: 140A, Incluye máscara, Cable: 10 pies",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Cable de Extensión,Cable de extensión de 50 pies 12 AWG,Eléctricos,unidad,"cable,extensión,50 pies,12 awg","Longitud: 50 pies, Calibre: 12 AWG, 3 contactos",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Caja de Conexión,Caja de conexión cuadrada de 4x4 pulgadas,Eléctricos,unidad,"caja,conexión,4x4,cuadrada","Tamaño: 4x4 pulgadas, Material: Metal, Con tapa",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Conector Eléctrico,Conector eléctrico de 15A con tierra,Eléctricos,unidad,"conector,eléctrico,15a,tierra","Amperaje: 15A, Con tierra, Color: Blanco",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Canaleta Eléctrica,Canaleta eléctrica de 1x1 pulgada 10 pies,Eléctricos,metro,"canaleta,eléctrica,1x1,10 pies","Tamaño: 1x1 pulgada, Longitud: 10 pies, Material: PVC",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Pegamento de Contacto,Pegamento de contacto para cuero y tela,Adhesivos,unidad,"pegamento,contacto,cuero,tela","Uso: Cuero y tela, Presentación: 250ml, Secado rápido",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Silicona Transparente,Silicona transparente para sellado 300ml,Adhesivos,unidad,"silicona,transparente,sellado,300ml","Color: Transparente, Uso: Sellado, Presentación: 300ml",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Cinta Aislante,Cinta aislante de 3/4 pulgada 66 pies,Adhesivos,unidad,"cinta,aislante,3/4 pulgada,66 pies","Ancho: 3/4 pulgada, Longitud: 66 pies, Color: Negro",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Cinta de Enmascarar,Cinta de enmascarar de 1 pulgada 60 yardas,Adhesivos,unidad,"cinta,enmascarar,1 pulgada,60 yardas","Ancho: 1 pulgada, Longitud: 60 yardas, Adhesivo suave",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Escalera de Aluminio,Escalera de aluminio tipo A de 6 pies,Herramientas Manuales,unidad,"escalera,aluminio,tipo a,6 pies","Altura: 6 pies, Tipo: A, Material: Aluminio, Plegable",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Carretilla de Obra,Carretilla de obra de 6 pies cúbicos,Herramientas Manuales,unidad,"carretilla,obra,6 pies cúbicos,acero","Capacidad: 6 pies cúbicos, Material: Acero, Neumático sólido",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Pala de Punta,Pala de punta con mango de madera,Herramientas Manuales,unidad,"pala,punta,madera,acero","Tipo: Punta, Mango: Madera, Hoja: Acero, Longitud: 48 pulgadas",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Pico de Obrero,Pico de obrero con mango de madera,Herramientas Manuales,unidad,"pico,obrero,madera,acero","Tipo: Obrero, Mango: Madera, Hoja: Acero, Longitud: 36 pulgadas",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
